Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
_420_,1.25,2.515e-05,0.000e+00,3.485e-07,2.550e-05
_417_,1.25,2.096e-05,0.000e+00,5.013e-07,2.146e-05
_415_,1.25,1.110e-05,0.000e+00,3.273e-07,1.143e-05
_372_,1.25,6.933e-06,0.000e+00,2.810e-07,7.214e-06
_414_,1.25,6.868e-06,0.000e+00,2.762e-07,7.144e-06
_317_,1.25,6.820e-06,0.000e+00,2.961e-07,7.116e-06
_438_,1.25,6.447e-06,0.000e+00,1.479e-07,6.595e-06
_418_,1.25,6.306e-06,0.000e+00,2.816e-07,6.588e-06
_435_,1.25,6.223e-06,0.000e+00,1.449e-07,6.368e-06
_411_,1.25,5.636e-06,0.000e+00,3.323e-07,5.968e-06
_407_,1.25,4.714e-06,0.000e+00,3.181e-07,5.032e-06
_410_,1.25,4.583e-06,0.000e+00,2.841e-07,4.867e-06
_363_,1.25,4.520e-06,0.000e+00,2.781e-07,4.798e-06
_441_,1.25,4.268e-06,0.000e+00,1.611e-07,4.429e-06
_371_,1.25,3.573e-06,0.000e+00,2.868e-07,3.859e-06
_332_,1.25,3.757e-06,0.000e+00,9.146e-08,3.848e-06
_290_,1.25,3.617e-06,0.000e+00,1.412e-07,3.759e-06
_382_,1.25,3.586e-06,0.000e+00,1.399e-07,3.725e-06
_365_,1.25,3.339e-06,0.000e+00,2.001e-07,3.539e-06
_266_,1.25,2.838e-06,0.000e+00,6.512e-07,3.489e-06
_344_,1.25,3.333e-06,0.000e+00,1.491e-07,3.482e-06
_274_,1.25,2.822e-06,0.000e+00,6.512e-07,3.474e-06
_306_,1.25,3.320e-06,0.000e+00,1.475e-07,3.468e-06
_426_,1.25,3.289e-06,0.000e+00,1.067e-07,3.396e-06
_358_,1.25,3.156e-06,0.000e+00,8.983e-08,3.246e-06
_328_,1.25,3.148e-06,0.000e+00,8.930e-08,3.238e-06
_263_,1.25,2.709e-06,0.000e+00,3.601e-07,3.069e-06
_381_,1.25,2.855e-06,0.000e+00,1.974e-07,3.053e-06
_267_,1.25,2.648e-06,0.000e+00,3.601e-07,3.008e-06
_279_,1.25,2.645e-06,0.000e+00,3.601e-07,3.005e-06
_520_,1.25,2.748e-06,0.000e+00,1.320e-07,2.880e-06
_519_,1.25,2.748e-06,0.000e+00,1.320e-07,2.880e-06
_518_,1.25,2.748e-06,0.000e+00,1.320e-07,2.880e-06
_521_,1.25,2.748e-06,0.000e+00,1.320e-07,2.880e-06
_406_,1.25,2.672e-06,0.000e+00,1.743e-07,2.846e-06
_522_,1.25,2.687e-06,0.000e+00,1.320e-07,2.819e-06
_360_,1.25,2.580e-06,0.000e+00,1.966e-07,2.776e-06
_310_,1.25,2.617e-06,0.000e+00,9.996e-08,2.716e-06
_376_,1.25,2.617e-06,0.000e+00,9.996e-08,2.716e-06
_296_,1.25,2.608e-06,0.000e+00,1.004e-07,2.708e-06
_268_,1.25,1.839e-06,0.000e+00,8.481e-07,2.687e-06
_277_,1.25,1.793e-06,0.000e+00,8.481e-07,2.641e-06
_427_,1.25,2.474e-06,0.000e+00,7.797e-08,2.552e-06
_409_,1.25,2.340e-06,0.000e+00,9.467e-08,2.435e-06
sCPU_GPR.genblk1[3].register.dout_$_SDFFE_PP0P__Q_5,1.25,2.152e-06,0.000e+00,1.349e-07,2.286e-06
sCPU_GPR.genblk1[0].register.dout_$_SDFFE_PP0P__Q_5,1.25,2.147e-06,0.000e+00,1.349e-07,2.282e-06
sCPU_GPR.genblk1[2].register.dout_$_SDFFE_PP0P__Q_5,1.25,2.139e-06,0.000e+00,1.366e-07,2.275e-06
sCPU_GPR.genblk1[1].register.dout_$_SDFFE_PP0P__Q_5,1.25,2.134e-06,0.000e+00,1.366e-07,2.270e-06
_413_,1.25,2.140e-06,0.000e+00,1.258e-07,2.266e-06
sCPU_GPR.genblk1[3].register.dout_$_SDFFE_PP0P__Q_4,1.25,2.128e-06,0.000e+00,1.349e-07,2.263e-06
sCPU_GPR.genblk1[0].register.dout_$_SDFFE_PP0P__Q_4,1.25,2.118e-06,0.000e+00,1.349e-07,2.253e-06
sCPU_GPR.genblk1[2].register.dout_$_SDFFE_PP0P__Q_4,1.25,2.110e-06,0.000e+00,1.366e-07,2.247e-06
sCPU_GPR.genblk1[1].register.dout_$_SDFFE_PP0P__Q_4,1.25,2.110e-06,0.000e+00,1.366e-07,2.247e-06
PC.dout_$_SDFFE_PP0P__Q_2,1.25,2.103e-06,0.000e+00,1.366e-07,2.240e-06
sCPU_GPR.genblk1[0].register.dout_$_SDFFE_PP0P__Q_6,1.25,2.075e-06,0.000e+00,1.349e-07,2.210e-06
sCPU_GPR.genblk1[3].register.dout_$_SDFFE_PP0P__Q_6,1.25,2.075e-06,0.000e+00,1.349e-07,2.210e-06
sCPU_GPR.genblk1[1].register.dout_$_SDFFE_PP0P__Q_6,1.25,2.071e-06,0.000e+00,1.366e-07,2.208e-06
sCPU_GPR.genblk1[2].register.dout_$_SDFFE_PP0P__Q_6,1.25,2.064e-06,0.000e+00,1.366e-07,2.201e-06
_416_,1.25,2.104e-06,0.000e+00,9.149e-08,2.195e-06
sCPU_GPR.genblk1[0].register.dout_$_SDFFE_PP0P__Q_7,1.25,2.081e-06,0.000e+00,9.453e-08,2.175e-06
_421_,1.25,2.064e-06,0.000e+00,7.281e-08,2.137e-06
PC.dout_$_SDFFE_PP0P__Q_1,1.25,1.986e-06,0.000e+00,1.366e-07,2.123e-06
_269_,1.25,1.811e-06,0.000e+00,2.604e-07,2.071e-06
_265_,1.25,1.802e-06,0.000e+00,2.604e-07,2.062e-06
sCPU_GPR.genblk1[3].register.dout_$_SDFFE_PP0P__Q_7,1.25,1.900e-06,0.000e+00,1.360e-07,2.037e-06
sCPU_GPR.genblk1[2].register.dout_$_SDFFE_PP0P__Q_7,1.25,1.896e-06,0.000e+00,1.360e-07,2.032e-06
sCPU_GPR.genblk1[1].register.dout_$_SDFFE_PP0P__Q_7,1.25,1.896e-06,0.000e+00,1.360e-07,2.032e-06
PC.dout_$_SDFFE_PP0P__Q_3,1.25,1.916e-06,0.000e+00,1.079e-07,2.024e-06
PC.dout_$_SDFFE_PP0P__Q,1.25,1.875e-06,0.000e+00,1.366e-07,2.011e-06
_362_,1.25,1.776e-06,0.000e+00,2.257e-07,2.002e-06
_450_,1.25,1.793e-06,0.000e+00,9.306e-08,1.886e-06
_451_,1.25,1.793e-06,0.000e+00,9.306e-08,1.886e-06
_452_,1.25,1.793e-06,0.000e+00,9.306e-08,1.886e-06
_453_,1.25,1.793e-06,0.000e+00,9.306e-08,1.886e-06
sCPU_GPR.genblk1[0].register.dout_$_SDFFE_PP0P__Q_1,1.25,1.737e-06,0.000e+00,1.332e-07,1.870e-06
sCPU_GPR.genblk1[3].register.dout_$_SDFFE_PP0P__Q_1,1.25,1.716e-06,0.000e+00,1.336e-07,1.849e-06
sCPU_GPR.genblk1[2].register.dout_$_SDFFE_PP0P__Q_1,1.25,1.716e-06,0.000e+00,1.336e-07,1.849e-06
sCPU_GPR.genblk1[1].register.dout_$_SDFFE_PP0P__Q_1,1.25,1.716e-06,0.000e+00,1.336e-07,1.849e-06
_383_,1.25,1.772e-06,0.000e+00,6.814e-08,1.841e-06
sCPU_GPR.genblk1[3].register.dout_$_SDFFE_PP0P__Q_3,1.25,1.704e-06,0.000e+00,1.336e-07,1.837e-06
sCPU_GPR.genblk1[1].register.dout_$_SDFFE_PP0P__Q_3,1.25,1.704e-06,0.000e+00,1.336e-07,1.837e-06
sCPU_GPR.genblk1[2].register.dout_$_SDFFE_PP0P__Q_3,1.25,1.704e-06,0.000e+00,1.336e-07,1.837e-06
sCPU_GPR.genblk1[0].register.dout_$_SDFFE_PP0P__Q,1.25,1.689e-06,0.000e+00,1.331e-07,1.822e-06
sCPU_GPR.genblk1[3].register.dout_$_SDFFE_PP0P__Q,1.25,1.689e-06,0.000e+00,1.331e-07,1.822e-06
_377_,1.25,1.707e-06,0.000e+00,1.068e-07,1.814e-06
_311_,1.25,1.697e-06,0.000e+00,1.068e-07,1.804e-06
_398_,1.25,1.645e-06,0.000e+00,1.569e-07,1.802e-06
sCPU_GPR.genblk1[0].register.dout_$_SDFFE_PP0P__Q_2,1.25,1.668e-06,0.000e+00,1.332e-07,1.801e-06
sCPU_GPR.genblk1[1].register.dout_$_SDFFE_PP0P__Q,1.25,1.668e-06,0.000e+00,1.333e-07,1.801e-06
sCPU_GPR.genblk1[2].register.dout_$_SDFFE_PP0P__Q,1.25,1.668e-06,0.000e+00,1.333e-07,1.801e-06
sCPU_GPR.genblk1[2].register.dout_$_SDFFE_PP0P__Q_2,1.25,1.648e-06,0.000e+00,1.336e-07,1.781e-06
sCPU_GPR.genblk1[1].register.dout_$_SDFFE_PP0P__Q_2,1.25,1.648e-06,0.000e+00,1.336e-07,1.781e-06
sCPU_GPR.genblk1[3].register.dout_$_SDFFE_PP0P__Q_2,1.25,1.648e-06,0.000e+00,1.336e-07,1.781e-06
_337_,1.25,1.647e-06,0.000e+00,1.266e-07,1.773e-06
_351_,1.25,1.556e-06,0.000e+00,1.434e-07,1.699e-06
_288_,1.25,1.535e-06,0.000e+00,1.018e-07,1.637e-06
_412_,1.25,1.549e-06,0.000e+00,7.765e-08,1.626e-06
sCPU_GPR.genblk1[0].register.dout_$_SDFFE_PP0P__Q_3,1.25,1.587e-06,0.000e+00,3.413e-08,1.622e-06
_322_,1.25,1.497e-06,0.000e+00,1.018e-07,1.599e-06
_443_,1.25,1.450e-06,0.000e+00,1.457e-07,1.596e-06
_399_,1.25,1.462e-06,0.000e+00,1.320e-07,1.594e-06
_352_,1.25,1.356e-06,0.000e+00,2.223e-07,1.578e-06
_315_,1.25,1.469e-06,0.000e+00,9.803e-08,1.567e-06
_320_,1.25,1.432e-06,0.000e+00,1.330e-07,1.565e-06
_285_,1.25,1.429e-06,0.000e+00,1.330e-07,1.562e-06
_434_,1.25,1.455e-06,0.000e+00,1.042e-07,1.559e-06
_433_,1.25,1.432e-06,0.000e+00,7.029e-08,1.503e-06
_329_,1.25,1.334e-06,0.000e+00,1.610e-07,1.495e-06
_283_,1.25,1.175e-06,0.000e+00,3.182e-07,1.493e-06
_335_,1.25,1.354e-06,0.000e+00,1.257e-07,1.480e-06
_396_,1.25,1.331e-06,0.000e+00,1.320e-07,1.463e-06
_439_,1.25,1.333e-06,0.000e+00,1.094e-07,1.442e-06
_425_,1.25,1.355e-06,0.000e+00,7.050e-08,1.426e-06
_436_,1.25,1.310e-06,0.000e+00,1.079e-07,1.418e-06
_369_,1.25,1.259e-06,0.000e+00,1.547e-07,1.413e-06
_331_,1.25,1.309e-06,0.000e+00,9.800e-08,1.407e-06
_302_,1.25,1.249e-06,0.000e+00,1.547e-07,1.403e-06
_326_,1.25,1.232e-06,0.000e+00,1.660e-07,1.398e-06
_356_,1.25,1.232e-06,0.000e+00,1.660e-07,1.398e-06
_395_,1.25,1.241e-06,0.000e+00,1.388e-07,1.380e-06
_442_,1.25,1.262e-06,0.000e+00,1.101e-07,1.372e-06
_264_,1.25,9.351e-07,0.000e+00,4.241e-07,1.359e-06
_515_,1.25,1.272e-06,0.000e+00,8.137e-08,1.353e-06
_480_,1.25,1.257e-06,0.000e+00,8.137e-08,1.338e-06
_392_,1.25,1.197e-06,0.000e+00,1.320e-07,1.329e-06
_499_,1.25,1.270e-06,0.000e+00,5.473e-08,1.325e-06
_485_,1.25,1.230e-06,0.000e+00,9.260e-08,1.322e-06
_501_,1.25,1.221e-06,0.000e+00,9.260e-08,1.314e-06
_505_,1.25,1.216e-06,0.000e+00,9.260e-08,1.309e-06
_293_,1.25,1.153e-06,0.000e+00,1.366e-07,1.289e-06
_401_,1.25,1.153e-06,0.000e+00,1.173e-07,1.270e-06
_444_,1.25,1.077e-06,0.000e+00,8.964e-08,1.167e-06
_330_,1.25,1.057e-06,0.000e+00,6.862e-08,1.126e-06
_391_,1.25,8.764e-07,0.000e+00,2.156e-07,1.092e-06
_359_,1.25,1.012e-06,0.000e+00,6.659e-08,1.079e-06
_400_,1.25,9.195e-07,0.000e+00,1.592e-07,1.079e-06
_379_,1.25,9.252e-07,0.000e+00,1.131e-07,1.038e-06
_397_,1.25,9.522e-07,0.000e+00,8.264e-08,1.035e-06
_394_,1.25,9.522e-07,0.000e+00,8.264e-08,1.035e-06
_386_,1.25,9.522e-07,0.000e+00,8.264e-08,1.035e-06
_298_,1.25,9.484e-07,0.000e+00,7.062e-08,1.019e-06
_366_,1.25,9.285e-07,0.000e+00,8.137e-08,1.010e-06
_299_,1.25,9.279e-07,0.000e+00,8.137e-08,1.009e-06
_378_,1.25,8.896e-07,0.000e+00,9.260e-08,9.822e-07
_424_,1.25,8.600e-07,0.000e+00,7.618e-08,9.362e-07
_361_,1.25,8.347e-07,0.000e+00,9.229e-08,9.270e-07
_423_,1.25,8.420e-07,0.000e+00,7.126e-08,9.133e-07
_429_,1.25,8.348e-07,0.000e+00,7.657e-08,9.114e-07
_276_,1.25,8.396e-07,0.000e+00,7.066e-08,9.102e-07
_297_,1.25,8.205e-07,0.000e+00,8.965e-08,9.102e-07
_375_,1.25,8.158e-07,0.000e+00,9.229e-08,9.080e-07
_374_,1.25,8.158e-07,0.000e+00,9.229e-08,9.080e-07
_307_,1.25,8.158e-07,0.000e+00,9.229e-08,9.080e-07
_295_,1.25,8.158e-07,0.000e+00,9.229e-08,9.080e-07
_308_,1.25,8.158e-07,0.000e+00,9.229e-08,9.080e-07
_309_,1.25,8.158e-07,0.000e+00,9.229e-08,9.080e-07
_333_,1.25,8.158e-07,0.000e+00,9.229e-08,9.080e-07
_294_,1.25,8.158e-07,0.000e+00,9.229e-08,9.080e-07
_373_,1.25,8.154e-07,0.000e+00,9.229e-08,9.077e-07
_327_,1.25,8.240e-07,0.000e+00,7.813e-08,9.022e-07
_357_,1.25,8.240e-07,0.000e+00,7.813e-08,9.022e-07
_275_,1.25,8.180e-07,0.000e+00,7.813e-08,8.961e-07
_437_,1.25,8.121e-07,0.000e+00,8.069e-08,8.928e-07
_440_,1.25,8.121e-07,0.000e+00,8.069e-08,8.928e-07
_432_,1.25,8.121e-07,0.000e+00,8.069e-08,8.928e-07
_467_,1.25,7.903e-07,0.000e+00,8.964e-08,8.800e-07
_402_,1.25,7.410e-07,0.000e+00,1.364e-07,8.774e-07
_431_,1.25,7.997e-07,0.000e+00,7.563e-08,8.754e-07
_430_,1.25,8.008e-07,0.000e+00,7.145e-08,8.722e-07
_469_,1.25,7.857e-07,0.000e+00,8.377e-08,8.694e-07
_387_,1.25,7.857e-07,0.000e+00,8.184e-08,8.676e-07
_479_,1.25,7.838e-07,0.000e+00,8.377e-08,8.675e-07
_477_,1.25,8.090e-07,0.000e+00,5.758e-08,8.666e-07
_474_,1.25,7.729e-07,0.000e+00,7.998e-08,8.529e-07
_464_,1.25,7.910e-07,0.000e+00,5.758e-08,8.485e-07
_497_,1.25,7.520e-07,0.000e+00,8.964e-08,8.417e-07
_510_,1.25,7.826e-07,0.000e+00,5.758e-08,8.401e-07
_494_,1.25,7.429e-07,0.000e+00,8.964e-08,8.325e-07
_458_,1.25,7.416e-07,0.000e+00,8.964e-08,8.313e-07
_491_,1.25,7.497e-07,0.000e+00,7.926e-08,8.289e-07
_512_,1.25,7.360e-07,0.000e+00,9.287e-08,8.289e-07
_487_,1.25,7.453e-07,0.000e+00,7.926e-08,8.246e-07
_304_,1.25,7.457e-07,0.000e+00,7.170e-08,8.174e-07
_496_,1.25,7.230e-07,0.000e+00,9.287e-08,8.159e-07
_428_,1.25,7.116e-07,0.000e+00,1.035e-07,8.151e-07
_473_,1.25,7.217e-07,0.000e+00,9.287e-08,8.146e-07
_509_,1.25,7.117e-07,0.000e+00,1.021e-07,8.139e-07
_500_,1.25,7.563e-07,0.000e+00,5.758e-08,8.139e-07
_342_,1.25,7.405e-07,0.000e+00,7.170e-08,8.122e-07
_270_,1.25,7.222e-07,0.000e+00,8.965e-08,8.119e-07
_495_,1.25,7.261e-07,0.000e+00,7.998e-08,8.060e-07
_504_,1.25,7.120e-07,0.000e+00,9.287e-08,8.048e-07
_492_,1.25,6.997e-07,0.000e+00,1.021e-07,8.018e-07
_482_,1.25,7.076e-07,0.000e+00,9.287e-08,8.005e-07
_483_,1.25,7.427e-07,0.000e+00,5.758e-08,8.003e-07
_466_,1.25,6.971e-07,0.000e+00,1.021e-07,7.993e-07
_478_,1.25,6.952e-07,0.000e+00,1.021e-07,7.973e-07
_513_,1.25,7.027e-07,0.000e+00,9.287e-08,7.955e-07
_447_,1.25,6.345e-07,0.000e+00,1.591e-07,7.936e-07
_475_,1.25,6.997e-07,0.000e+00,9.287e-08,7.926e-07
_476_,1.25,7.343e-07,0.000e+00,5.758e-08,7.919e-07
_457_,1.25,6.878e-07,0.000e+00,1.021e-07,7.899e-07
_498_,1.25,6.874e-07,0.000e+00,1.021e-07,7.895e-07
_484_,1.25,7.311e-07,0.000e+00,5.758e-08,7.887e-07
_493_,1.25,6.956e-07,0.000e+00,9.287e-08,7.884e-07
_506_,1.25,6.954e-07,0.000e+00,9.287e-08,7.883e-07
_507_,1.25,7.303e-07,0.000e+00,5.758e-08,7.879e-07
_488_,1.25,6.853e-07,0.000e+00,1.021e-07,7.874e-07
_514_,1.25,6.975e-07,0.000e+00,8.964e-08,7.871e-07
_463_,1.25,6.917e-07,0.000e+00,9.287e-08,7.846e-07
_517_,1.25,7.193e-07,0.000e+00,5.758e-08,7.769e-07
_449_,1.25,6.795e-07,0.000e+00,8.964e-08,7.691e-07
_508_,1.25,6.757e-07,0.000e+00,9.287e-08,7.685e-07
_462_,1.25,6.657e-07,0.000e+00,1.021e-07,7.678e-07
_340_,1.25,6.539e-07,0.000e+00,1.084e-07,7.624e-07
_349_,1.25,6.503e-07,0.000e+00,1.084e-07,7.587e-07
_273_,1.25,6.431e-07,0.000e+00,1.148e-07,7.579e-07
_419_,1.25,6.737e-07,0.000e+00,6.914e-08,7.429e-07
_422_,1.25,6.686e-07,0.000e+00,5.920e-08,7.278e-07
_389_,1.25,6.156e-07,0.000e+00,8.219e-08,6.978e-07
_345_,1.25,6.171e-07,0.000e+00,5.302e-08,6.702e-07
_289_,1.25,5.408e-07,0.000e+00,1.022e-07,6.430e-07
_291_,1.25,4.599e-07,0.000e+00,1.749e-07,6.348e-07
_350_,1.25,5.378e-07,0.000e+00,7.998e-08,6.178e-07
_303_,1.25,5.334e-07,0.000e+00,7.998e-08,6.134e-07
_370_,1.25,5.333e-07,0.000e+00,7.998e-08,6.132e-07
_341_,1.25,5.232e-07,0.000e+00,7.998e-08,6.032e-07
_380_,1.25,5.139e-07,0.000e+00,8.662e-08,6.005e-07
_284_,1.25,5.424e-07,0.000e+00,5.758e-08,6.000e-07
_348_,1.25,5.424e-07,0.000e+00,5.758e-08,6.000e-07
_319_,1.25,5.424e-07,0.000e+00,5.758e-08,6.000e-07
_301_,1.25,5.418e-07,0.000e+00,5.758e-08,5.994e-07
_300_,1.25,5.418e-07,0.000e+00,5.758e-08,5.994e-07
_321_,1.25,5.410e-07,0.000e+00,5.758e-08,5.986e-07
_314_,1.25,5.098e-07,0.000e+00,8.662e-08,5.964e-07
_367_,1.25,5.382e-07,0.000e+00,5.758e-08,5.958e-07
_287_,1.25,5.378e-07,0.000e+00,5.758e-08,5.953e-07
_339_,1.25,5.376e-07,0.000e+00,5.758e-08,5.952e-07
_368_,1.25,5.370e-07,0.000e+00,5.758e-08,5.946e-07
_347_,1.25,4.885e-07,0.000e+00,9.596e-08,5.845e-07
_318_,1.25,4.884e-07,0.000e+00,9.596e-08,5.844e-07
_280_,1.25,4.884e-07,0.000e+00,9.596e-08,5.844e-07
_338_,1.25,4.882e-07,0.000e+00,9.596e-08,5.841e-07
_313_,1.25,4.834e-07,0.000e+00,9.596e-08,5.794e-07
_502_,1.25,4.618e-07,0.000e+00,1.112e-07,5.731e-07
_471_,1.25,4.543e-07,0.000e+00,1.112e-07,5.655e-07
_468_,1.25,4.467e-07,0.000e+00,1.112e-07,5.579e-07
_271_,1.25,4.657e-07,0.000e+00,8.416e-08,5.498e-07
_325_,1.25,4.928e-07,0.000e+00,5.507e-08,5.479e-07
_354_,1.25,4.928e-07,0.000e+00,5.507e-08,5.479e-07
_355_,1.25,4.928e-07,0.000e+00,5.507e-08,5.479e-07
_272_,1.25,4.928e-07,0.000e+00,5.507e-08,5.479e-07
_324_,1.25,4.928e-07,0.000e+00,5.507e-08,5.479e-07
_323_,1.25,4.928e-07,0.000e+00,5.507e-08,5.479e-07
_353_,1.25,4.916e-07,0.000e+00,5.507e-08,5.467e-07
_465_,1.25,4.767e-07,0.000e+00,6.818e-08,5.449e-07
_456_,1.25,4.670e-07,0.000e+00,5.912e-08,5.261e-07
_461_,1.25,4.524e-07,0.000e+00,6.818e-08,5.205e-07
_516_,1.25,4.569e-07,0.000e+00,5.912e-08,5.160e-07
_364_,1.25,4.317e-07,0.000e+00,5.584e-08,4.875e-07
_343_,1.25,4.190e-07,0.000e+00,5.557e-08,4.746e-07
_511_,1.25,4.028e-07,0.000e+00,5.912e-08,4.620e-07
_481_,1.25,4.019e-07,0.000e+00,5.912e-08,4.610e-07
_470_,1.25,3.842e-07,0.000e+00,6.818e-08,4.524e-07
_460_,1.25,3.805e-07,0.000e+00,6.818e-08,4.487e-07
_281_,1.25,3.743e-07,0.000e+00,6.818e-08,4.425e-07
_446_,1.25,3.733e-07,0.000e+00,6.818e-08,4.415e-07
_312_,1.25,3.733e-07,0.000e+00,6.818e-08,4.415e-07
_278_,1.25,3.718e-07,0.000e+00,6.818e-08,4.400e-07
_472_,1.25,3.807e-07,0.000e+00,5.912e-08,4.398e-07
_503_,1.25,3.791e-07,0.000e+00,5.912e-08,4.382e-07
_489_,1.25,3.678e-07,0.000e+00,6.818e-08,4.359e-07
_454_,1.25,3.657e-07,0.000e+00,6.818e-08,4.339e-07
_486_,1.25,3.656e-07,0.000e+00,6.818e-08,4.338e-07
_305_,1.25,3.247e-07,0.000e+00,5.557e-08,3.803e-07
_408_,1.25,3.119e-07,0.000e+00,5.557e-08,3.675e-07
_384_,1.25,2.973e-07,0.000e+00,3.044e-08,3.277e-07
_404_,1.25,2.740e-07,0.000e+00,5.162e-08,3.256e-07
_292_,1.25,2.502e-07,0.000e+00,7.202e-08,3.222e-07
_405_,1.25,2.644e-07,0.000e+00,5.557e-08,3.200e-07
_316_,1.25,2.561e-07,0.000e+00,5.557e-08,3.116e-07
_336_,1.25,1.947e-07,0.000e+00,4.976e-08,2.445e-07
_490_,1.25,1.774e-07,0.000e+00,5.301e-08,2.304e-07
_455_,1.25,1.664e-07,0.000e+00,5.301e-08,2.194e-07
_459_,1.25,1.389e-07,0.000e+00,5.301e-08,1.919e-07
_334_,1.25,1.343e-07,0.000e+00,5.301e-08,1.873e-07
_346_,1.25,1.335e-07,0.000e+00,5.301e-08,1.865e-07
_388_,1.25,1.348e-07,0.000e+00,4.555e-08,1.803e-07
_448_,1.25,1.246e-07,0.000e+00,5.301e-08,1.776e-07
_445_,1.25,1.246e-07,0.000e+00,5.301e-08,1.776e-07
_393_,1.25,1.234e-07,0.000e+00,5.301e-08,1.764e-07
_385_,1.25,1.234e-07,0.000e+00,5.301e-08,1.764e-07
_286_,1.25,1.233e-07,0.000e+00,5.301e-08,1.763e-07
_403_,1.25,1.228e-07,0.000e+00,5.301e-08,1.758e-07
_282_,1.25,1.241e-07,0.000e+00,4.558e-08,1.697e-07
_390_,1.25,1.313e-07,0.000e+00,2.998e-08,1.612e-07
