Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
u_get1hz.u_counter.u_reg.dout_$_SDFF_PP0__Q_29,1.25,3.655e-06,0.000e+00,1.366e-07,3.791e-06
u_get1hz.u_counter.u_reg.dout_$_SDFF_PP0__Q_30,1.25,3.650e-06,0.000e+00,1.367e-07,3.787e-06
u_get1hz.u_counter.u_reg.dout_$_SDFF_PP0__Q_28,1.25,3.600e-06,0.000e+00,1.365e-07,3.737e-06
u_get1hz.u_counter.u_reg.dout_$_SDFF_PP0__Q_27,1.25,3.541e-06,0.000e+00,1.364e-07,3.677e-06
u_get1hz.u_counter.u_reg.dout_$_SDFF_PP0__Q_26,1.25,3.498e-06,0.000e+00,1.364e-07,3.635e-06
u_get1hz.u_counter.u_reg.dout_$_SDFF_PP0__Q_25,1.25,3.467e-06,0.000e+00,1.364e-07,3.603e-06
u_get1hz.u_counter.u_reg.dout_$_SDFF_PP0__Q_24,1.25,3.446e-06,0.000e+00,1.363e-07,3.582e-06
u_get1hz.u_counter.u_reg.dout_$_SDFF_PP0__Q_23,1.25,3.439e-06,0.000e+00,1.363e-07,3.576e-06
u_get1hz.u_counter.u_reg.dout_$_SDFF_PP0__Q_22,1.25,3.427e-06,0.000e+00,1.363e-07,3.564e-06
u_get1hz.u_counter.u_reg.dout_$_SDFF_PP0__Q_20,1.25,3.425e-06,0.000e+00,1.363e-07,3.562e-06
u_get1hz.u_counter.u_reg.dout_$_SDFF_PP0__Q_9,1.25,3.425e-06,0.000e+00,1.363e-07,3.561e-06
u_get1hz.u_counter.u_reg.dout_$_SDFF_PP0__Q_8,1.25,3.425e-06,0.000e+00,1.363e-07,3.561e-06
u_get1hz.u_counter.u_reg.dout_$_SDFF_PP0__Q_4,1.25,3.425e-06,0.000e+00,1.363e-07,3.561e-06
u_get1hz.u_counter.u_reg.dout_$_SDFF_PP0__Q_21,1.25,3.423e-06,0.000e+00,1.363e-07,3.560e-06
u_get1hz.u_counter.u_reg.dout_$_SDFF_PP0__Q_12,1.25,3.423e-06,0.000e+00,1.363e-07,3.559e-06
u_get1hz.u_counter.u_reg.dout_$_SDFF_PP0__Q_6,1.25,3.421e-06,0.000e+00,1.363e-07,3.557e-06
u_get1hz.u_counter.u_reg.dout_$_SDFF_PP0__Q,1.25,3.421e-06,0.000e+00,1.363e-07,3.557e-06
u_get1hz.u_counter.u_reg.dout_$_SDFF_PP0__Q_17,1.25,3.420e-06,0.000e+00,1.363e-07,3.556e-06
u_get1hz.u_counter.u_reg.dout_$_SDFF_PP0__Q_14,1.25,3.420e-06,0.000e+00,1.363e-07,3.556e-06
u_get1hz.u_counter.u_reg.dout_$_SDFF_PP0__Q_2,1.25,3.420e-06,0.000e+00,1.363e-07,3.556e-06
u_get1hz.u_counter.u_reg.dout_$_SDFF_PP0__Q_10,1.25,3.420e-06,0.000e+00,1.363e-07,3.556e-06
